label,name,url,r,collab_in,components,n_seg,r_bin,norm
,"Николаев, Игорь","https://www.last.fm/music/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2,+%D0%98%D0%B3%D0%BE%D1%80%D1%8C",0.605,52,nikolaev (in=21); igor' (in=86),2,"[0.50,0.67)","nikolaev, igor'"
,TwoThirds & Feint,https://www.last.fm/music/TwoThirds+&+Feint,0.607,1418,twothirds (in=279); feint (in=2337),2,"[0.50,0.67)",twothirds & feint
,Atom & Cell,https://www.last.fm/music/Atom+&+Cell,0.608,710,atom (in=287); cell (in=1167),2,"[0.50,0.67)",atom & cell
,篁 志季(CV:江口拓也)、奥井 翼(CV:斉藤壮馬)、世良里津花(CV:花江夏樹)、村瀬 大(CV:梅原裕一郎),https://www.last.fm/music/%E7%AF%81+%E5%BF%97%E5%AD%A3(CV:%E6%B1%9F%E5%8F%A3%E6%8B%93%E4%B9%9F)%E3%80%81%E5%A5%A5%E4%BA%95+%E7%BF%BC(CV:%E6%96%89%E8%97%A4%E5%A3%AE%E9%A6%AC)%E3%80%81%E4%B8%96%E8%89%AF%E9%87%8C%E6%B4%A5%E8%8A%B1(CV:%E8%8A%B1%E6%B1%9F%E5%A4%8F%E6%A8%B9)%E3%80%81%E6%9D%91%E7%80%AC+%E5%A4%A7(CV:%E6%A2%85%E5%8E%9F%E8%A3%95%E4%B8%80%E9%83%8E),0.609,56,huang zhi ji (cv:jiang kou tuo ye ) (in=41); ao jing yi (cv:qi teng zhuang ma ) (in=38); shi liang li jin hua (cv:hua jiang xia shu ) (in=55); cun lai da (cv:mei yuan yu yi lang ) (in=92),4,"[0.50,0.67)","huang zhi ji (cv:jiang kou tuo ye ), ao jing yi (cv:qi teng zhuang ma ), shi liang li jin hua (cv:hua jiang xia shu ), cun lai da (cv:mei yuan yu yi lang )"
,"CloZee, LSDREAM","https://www.last.fm/music/CloZee,+LSDREAM",0.611,920,clozee (in=1506); lsdream (in=934),2,"[0.50,0.67)","clozee, lsdream"
,"Anchietx, Os Garotin","https://www.last.fm/music/Anchietx,+Os+Garotin",0.618,637,anchietx (in=1030); os garotin (in=1030),2,"[0.50,0.67)","anchietx, os garotin"
,Stan Getz & João Gilberto,https://www.last.fm/music/Stan+Getz+&+Jo%C3%A3o+Gilberto,0.636,978,stan getz (in=1029); joao gilberto (in=1537),2,"[0.50,0.67)",stan getz & joao gilberto
,"Ikkimel, Admiral Klatsch","https://www.last.fm/music/Ikkimel,+Admiral+Klatsch",0.656,550,ikkimel (in=838); admiral klatsch (in=196),2,"[0.50,0.67)","ikkimel, admiral klatsch"
,Bazzi feat. Camila Cabello,https://www.last.fm/music/Bazzi+feat.+Camila+Cabello,0.670,750,bazzi (in=1028); camila cabello (in=1120),2,"[0.50,0.67)",bazzi feat. camila cabello
,"MiyaGi, Эндшпиль, al l bo & Wooshendoo","https://www.last.fm/music/MiyaGi,+%D0%AD%D0%BD%D0%B4%D1%88%D0%BF%D0%B8%D0%BB%D1%8C,+al+l+bo+&+Wooshendoo",0.670,831,miyagi (in=906); endshpil' (in=1240); al l bo (in=270); wooshendoo (in=23),4,"[0.67,0.80)","miyagi, endshpil', al l bo & wooshendoo"
