label,name,url,r,collab_in,components,n_seg,r_bin,norm
,Rosa Ana feat. Appa,https://www.last.fm/music/Rosa+Ana+feat.+Appa,0.002,3,rosa ana (in=158); appa (in=1241),2,LOW(<0.05),rosa ana feat. appa
,Cassidy & Billy The Kid,https://www.last.fm/music/Cassidy+&+Billy+The+Kid,0.005,6,cassidy (in=693); billy the kid (in=1281),2,LOW(<0.05),cassidy & billy the kid
,Supermartxé & Playb4ck Feat. Mohombi,https://www.last.fm/music/Supermartx%C3%A9+&+Playb4ck+Feat.+Mohombi,0.005,4,supermartxe (in=282); playb4ck (in=357); mohombi (in=754),3,LOW(<0.05),supermartxe & playb4ck feat. mohombi
,"Cristoph, CultureKind & Afnan Prince","https://www.last.fm/music/Cristoph,+CultureKind+&+Afnan+Prince",0.007,6,cristoph (in=923); culturekind (in=232); afnan prince (in=24),3,LOW(<0.05),"cristoph, culturekind & afnan prince"
,Robb Sapp & Company,https://www.last.fm/music/Robb+Sapp+&+Company,0.010,9,robb sapp (in=8); company (in=916),2,LOW(<0.05),robb sapp & company
,"Brownie McGhee, Pete Seeger & Sonny Terry","https://www.last.fm/music/Brownie+McGhee,+Pete+Seeger+&+Sonny+Terry",0.011,13,brownie mcghee (in=172); pete seeger (in=1183); sonny terry (in=469),3,LOW(<0.05),"brownie mcghee, pete seeger & sonny terry"
,"Medusa, LØST SIGNAL, PACANI","https://www.last.fm/music/Medusa,+L%C3%98ST+SIGNAL,+PACANI",0.012,15,medusa (in=179); lost signal (in=1247); pacani (in=664),3,LOW(<0.05),"medusa, lost signal, pacani"
,"Trippie Redd, Skrillex & PinkPantheress","https://www.last.fm/music/Trippie+Redd,+Skrillex+&+PinkPantheress",0.016,33,trippie redd (in=2120); skrillex (in=1854); pinkpantheress (in=883),3,LOW(<0.05),"trippie redd, skrillex & pinkpantheress"
,"Mithril Oreder, R.A. The Rugged Man","https://www.last.fm/music/Mithril+Oreder,+R.A.+The+Rugged+Man",0.024,28,mithril oreder (in=372); r.a. the rugged man (in=1189),2,LOW(<0.05),"mithril oreder, r.a. the rugged man"
,Na Yoon Sik & Park Se Jun,https://www.last.fm/music/Na+Yoon+Sik+&+Park+Se+Jun,0.027,9,na yoon sik (in=268); park se jun (in=328),2,LOW(<0.05),na yoon sik & park se jun
,Senses & Nightclub20xx,https://www.last.fm/music/Senses+&+Nightclub20xx,0.030,34,senses (in=1140); nightclub20xx (in=91),2,LOW(<0.05),senses & nightclub20xx
,"CHIARO, Ch3f Beats","https://www.last.fm/music/CHIARO,+Ch3f+Beats",0.036,6,chiaro (in=36); ch3f beats (in=169),2,LOW(<0.05),"chiaro, ch3f beats"
,"電音部、日高零奈 (CV: 蔀 祐佳)、東雲和音 (CV: 天音みほ)、茅野ふたば (CV: 堀越せな), Shinpei Nasuno","https://www.last.fm/music/%E9%9B%BB%E9%9F%B3%E9%83%A8%E3%80%81%E6%97%A5%E9%AB%98%E9%9B%B6%E5%A5%88+(CV:+%E8%94%80+%E7%A5%90%E4%BD%B3)%E3%80%81%E6%9D%B1%E9%9B%B2%E5%92%8C%E9%9F%B3+(CV:+%E5%A4%A9%E9%9F%B3%E3%81%BF%E3%81%BB)%E3%80%81%E8%8C%85%E9%87%8E%E3%81%B5%E3%81%9F%E3%81%B0+(CV:+%E5%A0%80%E8%B6%8A%E3%81%9B%E3%81%AA),+Shinpei+Nasuno",0.040,8,dian yin bu (in=201); ri gao ling nai (cv: bu you jia ) (in=46); dong yun he yin (cv: tian yin miho) (in=80); mao ye hutaba (cv: ku yue sena) (in=35); shinpei nasuno (in=2),5,LOW(<0.05),"dian yin bu , ri gao ling nai (cv: bu you jia ), dong yun he yin (cv: tian yin miho), mao ye hutaba (cv: ku yue sena), shinpei nasuno"
,"Gareth Emery, Alex & Sierra","https://www.last.fm/music/Gareth+Emery,+Alex+&+Sierra",0.044,87,gareth emery (in=1961); alex (in=1064); sierra (in=577),3,LOW(<0.05),"gareth emery, alex & sierra"
,"Chingy, Ludacris & Snoop Dogg","https://www.last.fm/music/Chingy,+Ludacris+&+Snoop+Dogg",0.049,108,chingy (in=1211); ludacris (in=2200); snoop dogg (in=1906),3,LOW(<0.05),"chingy, ludacris & snoop dogg"
,"escape, Konfuz","https://www.last.fm/music/escape,+Konfuz",0.051,60,escape (in=493); konfuz (in=1182),2,"[0.05,0.10)","escape, konfuz"
,High John & Flitz&Suppe,https://www.last.fm/music/High+John+&+Flitz&Suppe,0.051,20,high john (in=393); flitz (in=8); suppe (in=34),3,"[0.05,0.10)",high john & flitz&suppe
,"Nicky Jam, Romeo Santos","https://www.last.fm/music/Nicky+Jam,+Romeo+Santos",0.052,109,nicky jam (in=2104); romeo santos (in=1669),2,"[0.05,0.10)","nicky jam, romeo santos"
,一二三/初音ミク,https://www.last.fm/music/%E4%B8%80%E4%BA%8C%E4%B8%89%2F%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF,0.053,58,yi er san (in=552); chu yin miku (in=1089),2,"[0.05,0.10)",yi er san /chu yin miku
,"SI Istwa, Father John Misty","https://www.last.fm/music/SI+Istwa,+Father+John+Misty",0.055,69,si istwa (in=856); father john misty (in=1256),2,"[0.05,0.10)","si istwa, father john misty"
,Darby & Ian,https://www.last.fm/music/Darby+&+Ian,0.057,115,darby (in=515); ian (in=2012),2,"[0.05,0.10)",darby & ian
,菅野よう子 & キセル,https://www.last.fm/music/%E8%8F%85%E9%87%8E%E3%82%88%E3%81%86%E5%AD%90+&+%E3%82%AD%E3%82%BB%E3%83%AB,0.059,123,jian ye youzi (in=2074); kiseru (in=178),2,"[0.05,0.10)",jian ye youzi & kiseru
,"ZekeUltra, Yonqi","https://www.last.fm/music/ZekeUltra,+Yonqi",0.061,22,zekeultra (in=363); yonqi (in=255),2,"[0.05,0.10)","zekeultra, yonqi"
,"Captain Future, Edmond Hamilton","https://www.last.fm/music/Captain+Future,+Edmond+Hamilton",0.062,15,captain future (in=243); edmond hamilton (in=86),2,"[0.05,0.10)","captain future, edmond hamilton"
,"Madonna, LMFAO, Nicki Minaj","https://www.last.fm/music/Madonna,+LMFAO,+Nicki+Minaj",0.062,137,madonna (in=1604); lmfao (in=650); nicki minaj (in=2202),3,"[0.05,0.10)","madonna, lmfao, nicki minaj"
,Raine Maida & Chantal Kreviazuk,https://www.last.fm/music/Raine+Maida+&+Chantal+Kreviazuk,0.062,70,raine maida (in=1124); chantal kreviazuk (in=655),2,"[0.05,0.10)",raine maida & chantal kreviazuk
,"Rifti Beats, GameChops, Super Guitar Bros","https://www.last.fm/music/Rifti+Beats,+GameChops,+Super+Guitar+Bros",0.067,61,rifti beats (in=543); gamechops (in=401); super guitar bros (in=909),3,"[0.05,0.10)","rifti beats, gamechops, super guitar bros"
,North-T feat. Hatsune Miku,https://www.last.fm/music/North-T+feat.+Hatsune+Miku,0.067,84,north-t (in=1074); hatsune miku (in=1246),2,"[0.05,0.10)",north-t feat. hatsune miku
,ANUQRAM & Alexey Sonar,https://www.last.fm/music/ANUQRAM+&+Alexey+Sonar,0.067,78,anuqram (in=1157); alexey sonar (in=432),2,"[0.05,0.10)",anuqram & alexey sonar
,"Coults, Venny","https://www.last.fm/music/Coults,+Venny",0.068,20,coults (in=175); venny (in=296),2,"[0.05,0.10)","coults, venny"
,"Plains, Waxahatchee","https://www.last.fm/music/Plains,+Waxahatchee",0.068,152,plains (in=249); waxahatchee (in=2223),2,"[0.05,0.10)","plains, waxahatchee"
,Keina Suda & ぬゆり,https://www.last.fm/music/Keina+Suda+&+%E3%81%AC%E3%82%86%E3%82%8A,0.077,169,keina suda (in=1204); nuyuri (in=2204),2,"[0.05,0.10)",keina suda & nuyuri
,"demxntia, 6host","https://www.last.fm/music/demxntia,+6host",0.078,59,demxntia (in=761); 6host (in=442),2,"[0.05,0.10)","demxntia, 6host"
,"ABOVE & BEYOND/JOHNSTON, ZOE","https://www.last.fm/music/ABOVE+&+BEYOND%2FJOHNSTON,+ZOE",0.078,166,above (in=244); beyond (in=1885); johnston (in=251); zoe (in=2135),4,"[0.05,0.10)","above & beyond/johnston, zoe"
,"SUICIDAL-IDOL, hubithekid, & Pröz","https://www.last.fm/music/SUICIDAL-IDOL,+hubithekid,+&+Pr%C3%B6z",0.085,106,suicidal-idol (in=1247); hubithekid (in=675); proz (in=1225),3,"[0.05,0.10)","suicidal-idol, hubithekid, & proz"
,Emilio Kauderer & Federico Jusid,https://www.last.fm/music/Emilio+Kauderer+&+Federico+Jusid,0.085,74,emilio kauderer (in=559); federico jusid (in=867),2,"[0.05,0.10)",emilio kauderer & federico jusid
,"koyori, 柘榴","https://www.last.fm/music/koyori,+%E6%9F%98%E6%A6%B4",0.086,95,koyori (in=1104); zhe liu (in=18),2,"[0.05,0.10)","koyori, zhe liu"
,"BoofPaxkMooky, Dylvinci","https://www.last.fm/music/BoofPaxkMooky,+Dylvinci",0.087,126,boofpaxkmooky (in=1440); dylvinci (in=1395),2,"[0.05,0.10)","boofpaxkmooky, dylvinci"
,"Crush Your Soul, Loyal To The Grave, Lukey Cage, Combust, Gigan","https://www.last.fm/music/Crush+Your+Soul,+Loyal+To+The+Grave,+Lukey+Cage,+Combust,+Gigan",0.090,134,crush your soul (in=730); loyal to the grave (in=1494); lukey cage (in=7); combust (in=772); gigan (in=639),5,"[0.05,0.10)","crush your soul, loyal to the grave, lukey cage, combust, gigan"
,Limbee & Sanek187,https://www.last.fm/music/Limbee+&+Sanek187,0.092,22,limbee (in=239); sanek187 (in=4),2,"[0.05,0.10)",limbee & sanek187
,"bambi, Oki & francis","https://www.last.fm/music/bambi,+Oki+&+francis",0.093,197,bambi (in=688); oki (in=2121); francis (in=369),3,"[0.05,0.10)","bambi, oki & francis"
,DJ DIMIXER/SERGE LEGRAN/MURANA/HARDDOPE,https://www.last.fm/music/DJ+DIMIXER%2FSERGE+LEGRAN%2FMURANA%2FHARDDOPE,0.095,162,dj dimixer (in=1704); serge legran (in=962); murana (in=189); harddope (in=1397),4,"[0.05,0.10)",dj dimixer/serge legran/murana/harddope
,T & T,https://www.last.fm/music/T+&+T,0.096,47,t (in=488); t (in=488),2,"[0.05,0.10)",t & t
,"Suzanne Ciani, Jonathan Fitoussi","https://www.last.fm/music/Suzanne+Ciani,+Jonathan+Fitoussi",0.097,72,suzanne ciani (in=739); jonathan fitoussi (in=332),2,"[0.05,0.10)","suzanne ciani, jonathan fitoussi"
,Michael Mayer & Ed Macfarlane,https://www.last.fm/music/Michael+Mayer+&+Ed+Macfarlane,0.099,94,michael mayer (in=945); ed macfarlane (in=57),2,"[0.05,0.10)",michael mayer & ed macfarlane
,KAYTRANADA feat. Dawn Richard,https://www.last.fm/music/KAYTRANADA+feat.+Dawn+Richard,0.102,159,kaytranada (in=1566); dawn richard (in=1112),2,"[0.10,0.15)",kaytranada feat. dawn richard
,"Emilia, Florin Salam & Costi","https://www.last.fm/music/Emilia,+Florin+Salam+&+Costi",0.102,186,emilia (in=1818); florin salam (in=1277); costi (in=976),3,"[0.10,0.15)","emilia, florin salam & costi"
,"Javi Reina, Alex Guerrero,Syntheticsax","https://www.last.fm/music/Javi+Reina,+Alex+Guerrero,Syntheticsax",0.102,54,javi reina (in=527); alex guerrero (in=282); syntheticsax (in=465),3,"[0.10,0.15)","javi reina, alex guerrero,syntheticsax"
,"Psychosis, Pxlsdead","https://www.last.fm/music/Psychosis,+Pxlsdead",0.103,68,psychosis (in=659); pxlsdead (in=534),2,"[0.10,0.15)","psychosis, pxlsdead"
,"鷹富士茄子 (森下来奈), 道明寺歌鈴 (新田ひより), 依田芳乃 (高田憂希)","https://www.last.fm/music/%E9%B7%B9%E5%AF%8C%E5%A3%AB%E8%8C%84%E5%AD%90+(%E6%A3%AE%E4%B8%8B%E6%9D%A5%E5%A5%88),+%E9%81%93%E6%98%8E%E5%AF%BA%E6%AD%8C%E9%88%B4+(%E6%96%B0%E7%94%B0%E3%81%B2%E3%82%88%E3%82%8A),+%E4%BE%9D%E7%94%B0%E8%8A%B3%E4%B9%83+(%E9%AB%98%E7%94%B0%E6%86%82%E5%B8%8C)",0.105,9,ying fu shi qie zi (sen xia lai nai ) (in=50); dao ming si ge ling (xin tian hiyori) (in=5); yi tian fang nai (gao tian you xi ) (in=86),3,"[0.10,0.15)","ying fu shi qie zi (sen xia lai nai ), dao ming si ge ling (xin tian hiyori), yi tian fang nai (gao tian you xi )"
,Keala Settle/The Greatest Showman Ensemble,https://www.last.fm/music/Keala+Settle%2FThe+Greatest+Showman+Ensemble,0.107,105,keala settle (in=865); the greatest showman ensemble (in=985),2,"[0.10,0.15)",keala settle/the greatest showman ensemble
,"Busta 929, Boohle","https://www.last.fm/music/Busta+929,+Boohle",0.107,317,busta 929 (in=2957); boohle (in=1298),2,"[0.10,0.15)","busta 929, boohle"
,Efteling & De magische Klok,https://www.last.fm/music/Efteling+&+De+magische+Klok,0.108,20,efteling (in=186); de magische klok (in=78),2,"[0.10,0.15)",efteling & de magische klok
,Slick Rick & Giggs,https://www.last.fm/music/Slick+Rick+&+Giggs,0.108,195,slick rick (in=1806); giggs (in=1577),2,"[0.10,0.15)",slick rick & giggs
,VLADIVOJNA LA CHIA & BANANA,https://www.last.fm/music/VLADIVOJNA+LA+CHIA+&+BANANA,0.108,98,vladivojna la chia (in=904); banana (in=528),2,"[0.10,0.15)",vladivojna la chia & banana
,"187 Strassenbande, Gzuz, Bonez MC","https://www.last.fm/music/187+Strassenbande,+Gzuz,+Bonez+MC",0.111,222,187 strassenbande (in=514); gzuz (in=2006); bonez mc (in=1826),3,"[0.10,0.15)","187 strassenbande, gzuz, bonez mc"
,"Celtic Harp, Kathryn Mannyng","https://www.last.fm/music/Celtic+Harp,+Kathryn+Mannyng",0.111,4,celtic harp (in=36); kathryn mannyng (in=20),2,"[0.10,0.15)","celtic harp, kathryn mannyng"
,Sheryl Crow & Eric Clapton,https://www.last.fm/music/Sheryl+Crow+&+Eric+Clapton,0.111,200,sheryl crow (in=1757); eric clapton (in=1794),2,"[0.10,0.15)",sheryl crow & eric clapton
,Illumate feat. GONE.Fludd,https://www.last.fm/music/Illumate+feat.+GONE.Fludd,0.114,253,illumate (in=477); gone.fludd (in=2211),2,"[0.10,0.15)",illumate feat. gone.fludd
,Kleistwahr / P Wits,https://www.last.fm/music/Kleistwahr+%2F+P+Wits,0.117,109,kleistwahr (in=930); p wits (in=84),2,"[0.10,0.15)",kleistwahr / p wits
,Kid Moxie & Ivan Iusco,https://www.last.fm/music/Kid+Moxie+&+Ivan+Iusco,0.117,89,kid moxie (in=759); ivan iusco (in=6),2,"[0.10,0.15)",kid moxie & ivan iusco
,"Approaching Black, Jacob Henry","https://www.last.fm/music/Approaching+Black,+Jacob+Henry",0.125,156,approaching black (in=1247); jacob henry (in=866),2,"[0.10,0.15)","approaching black, jacob henry"
,"TobyMac, Capital Kings","https://www.last.fm/music/TobyMac,+Capital+Kings",0.129,268,tobymac (in=2083); capital kings (in=711),2,"[0.10,0.15)","tobymac, capital kings"
,"Christy Altomare, Derek Klena, Mary Beth Peil, Ramin Karimloo","https://www.last.fm/music/Christy+Altomare,+Derek+Klena,+Mary+Beth+Peil,+Ramin+Karimloo",0.129,292,christy altomare (in=2262); derek klena (in=686); mary beth peil (in=967); ramin karimloo (in=605),4,"[0.10,0.15)","christy altomare, derek klena, mary beth peil, ramin karimloo"
,"Liar, Flower","https://www.last.fm/music/Liar,+Flower",0.130,111,liar (in=141); flower (in=857),2,"[0.10,0.15)","liar, flower"
,"Toil, Leellamarz, BE'O","https://www.last.fm/music/Toil,+Leellamarz,+BE%27O",0.130,150,toil (in=431); leellamarz (in=983); be'o (in=1155),3,"[0.10,0.15)","toil, leellamarz, be'o"
,Ghostface Killah & Inspectah Deck,https://www.last.fm/music/Ghostface+Killah+&+Inspectah+Deck,0.130,250,ghostface killah (in=1923); inspectah deck (in=515),2,"[0.10,0.15)",ghostface killah & inspectah deck
,"Phix, Ryan Oakes","https://www.last.fm/music/Phix,+Ryan+Oakes",0.131,102,phix (in=195); ryan oakes (in=776),2,"[0.10,0.15)","phix, ryan oakes"
,"Jhené Aiko, Childish Gambino","https://www.last.fm/music/Jhen%C3%A9+Aiko,+Childish+Gambino",0.136,228,jhene aiko (in=1633); childish gambino (in=1680),2,"[0.10,0.15)","jhene aiko, childish gambino"
,"Marc Ducret, Michel Benita & Aaron Scott","https://www.last.fm/music/Marc+Ducret,+Michel+Benita+&+Aaron+Scott",0.139,233,marc ducret (in=1116); michel benita (in=1678); aaron scott (in=145),3,"[0.10,0.15)","marc ducret, michel benita & aaron scott"
,"Alan Aztec, Одолжи Юность","https://www.last.fm/music/Alan+Aztec,+%D0%9E%D0%B4%D0%BE%D0%BB%D0%B6%D0%B8+%D0%AE%D0%BD%D0%BE%D1%81%D1%82%D1%8C",0.140,45,alan aztec (in=226); odolzhi iunost' (in=322),2,"[0.10,0.15)","alan aztec, odolzhi iunost'"
,Houses/Teen Daze,https://www.last.fm/music/Houses%2FTeen+Daze,0.147,144,houses (in=463); teen daze (in=982),2,"[0.10,0.15)",houses/teen daze
,"Pussy Riot, Boys Noize, Alice Glass","https://www.last.fm/music/Pussy+Riot,+Boys+Noize,+Alice+Glass",0.148,267,pussy riot (in=419); boys noize (in=1807); alice glass (in=1015),3,"[0.10,0.15)","pussy riot, boys noize, alice glass"
,Clare de Graw/Douglass/Rob Symeonn/Roots Combination,https://www.last.fm/music/Clare+de+Graw%2FDouglass%2FRob+Symeonn%2FRoots+Combination,0.148,327,clare de graw (in=1); douglass (in=2210); rob symeonn (in=573); roots combination (in=29),4,"[0.10,0.15)",clare de graw/douglass/rob symeonn/roots combination
,"Galena, DJ Damyan, Costi","https://www.last.fm/music/Galena,+DJ+Damyan,+Costi",0.149,296,galena (in=1988); dj damyan (in=1133); costi (in=976),3,"[0.10,0.15)","galena, dj damyan, costi"
,"GENIUS, K CAMP & RARE Sound","https://www.last.fm/music/GENIUS,+K+CAMP+&+RARE+Sound",0.150,223,genius (in=277); k camp (in=1482); rare sound (in=409),3,"[0.15,0.20)","genius, k camp & rare sound"
,Joey Valence & Brae feat. Danny Brown,https://www.last.fm/music/Joey+Valence+&+Brae+feat.+Danny+Brown,0.152,220,joey valence (in=328); brae (in=59); danny brown (in=1451),3,"[0.15,0.20)",joey valence & brae feat. danny brown
,Black Moon ft Method Man & General Steele,https://www.last.fm/music/Black+Moon+ft+Method+Man+&+General+Steele,0.153,291,black moon (in=1279); method man (in=1901); general steele (in=352),3,"[0.15,0.20)",black moon ft method man & general steele
,"Los Mesoneros, Caloncho","https://www.last.fm/music/Los+Mesoneros,+Caloncho",0.154,251,los mesoneros (in=929); caloncho (in=1632),2,"[0.15,0.20)","los mesoneros, caloncho"
,"Gabo El Chamaquito, Jere Klein, El Bai","https://www.last.fm/music/Gabo+El+Chamaquito,+Jere+Klein,+El+Bai",0.154,247,gabo el chamaquito (in=1603); jere klein (in=822); el bai (in=929),3,"[0.15,0.20)","gabo el chamaquito, jere klein, el bai"
,"Jon Hopkins, Ram Dass & East Forest","https://www.last.fm/music/Jon+Hopkins,+Ram+Dass+&+East+Forest",0.155,420,jon hopkins (in=2703); ram dass (in=1110); east forest (in=435),3,"[0.15,0.20)","jon hopkins, ram dass & east forest"
,Boney James featuring Jaheim,https://www.last.fm/music/Boney+James+featuring+Jaheim,0.158,186,boney james (in=955); jaheim (in=1179),2,"[0.15,0.20)",boney james featuring jaheim
,Paul McCartney & Damon Albarn,https://www.last.fm/music/Paul+McCartney+&+Damon+Albarn,0.159,182,paul mccartney (in=1146); damon albarn (in=602),2,"[0.15,0.20)",paul mccartney & damon albarn
,Laura & Greg,https://www.last.fm/music/Laura+&+Greg,0.159,54,laura (in=339); greg (in=274),2,"[0.15,0.20)",laura & greg
,Terranova feat. Coco,https://www.last.fm/music/Terranova+feat.+Coco,0.162,108,terranova (in=668); coco (in=553),2,"[0.15,0.20)",terranova feat. coco
,Lady Gaga & COUCOU CHLOE,https://www.last.fm/music/Lady+Gaga+&+COUCOU+CHLOE,0.164,285,lady gaga (in=1735); coucou chloe (in=1453),2,"[0.15,0.20)",lady gaga & coucou chloe
,Prem Dhillon & San-B,https://www.last.fm/music/Prem+Dhillon+&+San-B,0.165,127,prem dhillon (in=769); san-b (in=13),2,"[0.15,0.20)",prem dhillon & san-b
,"Perth Tanapon, Chimon Wachirawit","https://www.last.fm/music/Perth+Tanapon,+Chimon+Wachirawit",0.166,101,perth tanapon (in=549); chimon wachirawit (in=607),2,"[0.15,0.20)","perth tanapon, chimon wachirawit"
,"Netz, Dina","https://www.last.fm/music/Netz,+Dina",0.167,58,netz (in=348); dina (in=337),2,"[0.15,0.20)","netz, dina"
,Enduser & Patrick Currier,https://www.last.fm/music/Enduser+&+Patrick+Currier,0.169,169,enduser (in=998); patrick currier (in=92),2,"[0.15,0.20)",enduser & patrick currier
,"Thrilliam Angels, d.j. polyplus u.c.","https://www.last.fm/music/Thrilliam+Angels,+d.j.+polyplus+u.c.",0.174,101,thrilliam angels (in=581); d.j. polyplus u.c. (in=144),2,"[0.15,0.20)","thrilliam angels, d.j. polyplus u.c."
,Sweat Enzo & Sumo Party,https://www.last.fm/music/Sweat+Enzo+&+Sumo+Party,0.175,11,sweat enzo (in=63); sumo party (in=22),2,"[0.15,0.20)",sweat enzo & sumo party
,Xosé Lois Romero & Aliboria,https://www.last.fm/music/Xos%C3%A9+Lois+Romero+&+Aliboria,0.178,155,xose lois romero (in=869); aliboria (in=21),2,"[0.15,0.20)",xose lois romero & aliboria
,"LOST FREQUENCIES, BONN","https://www.last.fm/music/LOST+FREQUENCIES,+BONN",0.180,335,lost frequencies (in=1865); bonn (in=218),2,"[0.15,0.20)","lost frequencies, bonn"
,"Johnny Pacheco & Pete ""Conde"" Rodriguez",https://www.last.fm/music/Johnny+Pacheco+&+Pete+%22Conde%22+Rodriguez,0.184,78,"johnny pacheco (in=425); pete ""conde"" rodriguez (in=17)",2,"[0.15,0.20)","johnny pacheco & pete ""conde"" rodriguez"
,"Os Garotin, Caetano Veloso, Cupertino, Anchietx","https://www.last.fm/music/Os+Garotin,+Caetano+Veloso,+Cupertino,+Anchietx",0.184,488,os garotin (in=1030); caetano veloso (in=2658); cupertino (in=2146); anchietx (in=1030),4,"[0.15,0.20)","os garotin, caetano veloso, cupertino, anchietx"
,Dj Milano feat. Samantha Fox,https://www.last.fm/music/Dj+Milano+feat.+Samantha+Fox,0.186,246,dj milano (in=192); samantha fox (in=1324),2,"[0.15,0.20)",dj milano feat. samantha fox
,Martin de Lima & Matthew Wang,https://www.last.fm/music/Martin+de+Lima+&+Matthew+Wang,0.186,8,martin de lima (in=42); matthew wang (in=43),2,"[0.15,0.20)",martin de lima & matthew wang
,Cherrelle & Alexander O’neal,https://www.last.fm/music/Cherrelle+&+Alexander+O%E2%80%99neal,0.189,228,cherrelle (in=747); alexander o'neal (in=1206),2,"[0.15,0.20)",cherrelle & alexander o'neal
,Unknown T & Knucks,https://www.last.fm/music/Unknown+T+&+Knucks,0.191,473,unknown t (in=1903); knucks (in=2474),2,"[0.15,0.20)",unknown t & knucks
,"Yessi Fran, nody rap","https://www.last.fm/music/Yessi+Fran,+nody+rap",0.192,283,yessi fran (in=1476); nody rap (in=6),2,"[0.15,0.20)","yessi fran, nody rap"
,Jewell & Aaron Hall,https://www.last.fm/music/Jewell+&+Aaron+Hall,0.192,201,jewell (in=1045); aaron hall (in=450),2,"[0.15,0.20)",jewell & aaron hall
,"Инфинити, D.I.P. Project","https://www.last.fm/music/%D0%98%D0%BD%D1%84%D0%B8%D0%BD%D0%B8%D1%82%D0%B8,+D.I.P.+Project",0.196,280,infiniti (in=1426); d.i.p. project (in=132),2,"[0.15,0.20)","infiniti, d.i.p. project"
,Oatmello & Ornithology,https://www.last.fm/music/Oatmello+&+Ornithology,0.198,338,oatmello (in=1708); ornithology (in=459),2,"[0.15,0.20)",oatmello & ornithology
,J.Period & Black Thought,https://www.last.fm/music/J.Period+&+Black+Thought,0.199,236,j.period (in=106); black thought (in=1185),2,"[0.15,0.20)",j.period & black thought
,"Fieldwork feat. Vijay Iyer, Steve Lehman & Tyshawn Sorey","https://www.last.fm/music/Fieldwork+feat.+Vijay+Iyer,+Steve+Lehman+&+Tyshawn+Sorey",0.201,317,fieldwork (in=746); vijay iyer (in=1575); steve lehman (in=365); tyshawn sorey (in=905),4,"[0.20,0.25)","fieldwork feat. vijay iyer, steve lehman & tyshawn sorey"
,Scorpions & Berliner Philharmoniker,https://www.last.fm/music/Scorpions+&+Berliner+Philharmoniker,0.202,392,scorpions (in=1374); berliner philharmoniker (in=1943),2,"[0.20,0.25)",scorpions & berliner philharmoniker
,"Roberto Murolo, Mia Martini","https://www.last.fm/music/Roberto+Murolo,+Mia+Martini",0.204,141,roberto murolo (in=134); mia martini (in=691),2,"[0.20,0.25)","roberto murolo, mia martini"
,"Silent Killer, Breaker & DJ Hidden","https://www.last.fm/music/Silent+Killer,+Breaker+&+DJ+Hidden",0.206,282,silent killer (in=1112); breaker (in=1367); dj hidden (in=478),3,"[0.20,0.25)","silent killer, breaker & dj hidden"
,Hearse Percy feat. ThatMusicBrony,https://www.last.fm/music/Hearse+Percy+feat.+ThatMusicBrony,0.208,240,hearse percy (in=732); thatmusicbrony (in=1152),2,"[0.20,0.25)",hearse percy feat. thatmusicbrony
,Critical Point Feat. Vikter Duplaix,https://www.last.fm/music/Critical+Point+Feat.+Vikter+Duplaix,0.209,106,critical point (in=357); vikter duplaix (in=508),2,"[0.20,0.25)",critical point feat. vikter duplaix
,Lonzo & Oscar,https://www.last.fm/music/Lonzo+&+Oscar,0.209,289,lonzo (in=144); oscar (in=1384),2,"[0.20,0.25)",lonzo & oscar
,"Skurt, ФРИК ПАТИ","https://www.last.fm/music/Skurt,+%D0%A4%D0%A0%D0%98%D0%9A+%D0%9F%D0%90%D0%A2%D0%98",0.209,177,skurt (in=517); frik pati (in=846),2,"[0.20,0.25)","skurt, frik pati"
,Downtown Binary & The Present Sound,https://www.last.fm/music/Downtown+Binary+&+The+Present+Sound,0.211,339,downtown binary (in=1604); the present sound (in=926),2,"[0.20,0.25)",downtown binary & the present sound
,Cub Sport feat. Darren Hayes,https://www.last.fm/music/Cub+Sport+feat.+Darren+Hayes,0.212,146,cub sport (in=654); darren hayes (in=688),2,"[0.20,0.25)",cub sport feat. darren hayes
,Tom de Neef & Laidback Luke,https://www.last.fm/music/Tom+de+Neef+&+Laidback+Luke,0.213,283,tom de neef (in=435); laidback luke (in=1326),2,"[0.20,0.25)",tom de neef & laidback luke
,"Jovens da Igreja de Jesus Cristo, Beatriz Marmelo","https://www.last.fm/music/Jovens+da+Igreja+de+Jesus+Cristo,+Beatriz+Marmelo",0.214,45,jovens da igreja de jesus cristo (in=210); beatriz marmelo (in=41),2,"[0.20,0.25)","jovens da igreja de jesus cristo, beatriz marmelo"
,"Verzache, Swell","https://www.last.fm/music/Verzache,+Swell",0.216,301,verzache (in=1396); swell (in=575),2,"[0.20,0.25)","verzache, swell"
,"Dave, Kamal.","https://www.last.fm/music/Dave,+Kamal.",0.216,424,dave (in=1960); kamal. (in=499),2,"[0.20,0.25)","dave, kamal."
,Pharoahe Monch feat. Nate Dogg,https://www.last.fm/music/Pharoahe+Monch+feat.+Nate+Dogg,0.219,365,pharoahe monch (in=1670); nate dogg (in=1019),2,"[0.20,0.25)",pharoahe monch feat. nate dogg
,"Low Chord, Gareth Inkster, Scott Orr","https://www.last.fm/music/Low+Chord,+Gareth+Inkster,+Scott+Orr",0.219,337,low chord (in=347); gareth inkster (in=1); scott orr (in=1536),3,"[0.20,0.25)","low chord, gareth inkster, scott orr"
